customer_id,first_name,last_name,gender,age,height_cm,weight_kg,bmi,size_code,recommended_size
1,Lucas,Moreau,M,33,180.1,93.7,28.9,4,L
2,Raphaël,Garcia,M,20,163.8,83.6,31.2,3,M
3,Gabriel,Durand,M,52,170.8,81.8,28.0,3,M
4,Noah,Garcia,M,39,192.9,74.7,20.1,4,L
5,Jade,Thomas,F,42,176.3,71.0,22.8,2,S
6,Mia,Petit,F,42,158.8,67.6,26.8,2,S
7,Léa,Durand,F,22,170.5,62.8,21.6,2,S
8,Maël,Petit,M,42,181.0,73.3,22.4,3,M
9,Louise,Michel,F,40,167.3,67.9,24.3,2,S
10,Gabriel,Dubois,M,28,173.8,67.5,22.3,2,S
11,Paul,Simon,M,21,178.3,78.8,24.8,3,M
12,Ethan,Fournier,M,38,183.4,79.0,23.5,4,L
13,Louise,Moreau,F,26,166.2,72.6,26.3,2,S
14,Chloé,Dubois,F,26,174.6,57.1,18.7,2,S
15,Maël,Petit,M,27,168.7,62.0,21.8,2,S
16,Léa,David,F,51,167.1,60.9,21.8,2,S
17,Paul,Petit,M,52,178.1,57.2,18.0,2,S
18,Nathan,Martin,M,34,183.3,94.3,28.1,4,L
19,Maël,Laurent,M,50,174.7,72.0,23.6,3,M
20,Raphaël,Simon,M,49,168.7,101.1,35.5,4,L
21,Alice,Bernard,F,33,177.3,45.9,14.6,1,XS
22,Tom,Vincent,M,26,182.4,84.6,25.4,4,L
23,Arthur,Roux,M,45,194.8,70.4,18.6,3,M
24,Rose,Michel,F,46,156.1,69.0,28.3,1,XS
25,Jules,Thomas,M,39,187.4,77.8,22.2,3,M
26,Jules,Thomas,M,20,177.5,78.7,25.0,3,M
27,Arthur,Bertrand,M,31,166.3,71.7,25.9,3,M
28,Tom,Bertrand,M,44,171.4,77.8,26.5,3,M
29,Chloé,Garcia,F,44,155.7,64.0,26.4,1,XS
30,Lucas,Lefebvre,M,39,158.9,77.7,30.8,2,S
31,Jules,Vincent,M,46,181.0,81.4,24.8,3,M
32,Nathan,Vincent,M,24,181.6,115.8,35.1,5,XL
33,Hugo,Dubois,M,28,170.8,83.0,28.5,4,L
34,Léo,Martin,M,42,165.8,74.2,27.0,3,M
35,Lina,Garcia,F,53,162.1,52.2,19.9,1,XS
36,Raphaël,Vincent,M,21,182.9,76.0,22.7,3,M
37,Mia,Roux,F,28,173.3,64.7,21.5,2,S
38,Paul,Dubois,M,43,175.7,92.9,30.1,4,L
39,Raphaël,Morel,M,20,172.3,68.2,23.0,2,S
40,Alice,Simon,F,33,162.0,60.5,23.1,1,XS
41,Anna,Simon,F,22,175.0,61.7,20.1,2,S
42,Gabriel,Moreau,M,26,176.7,96.7,31.0,4,L
43,Adam,Laurent,M,28,169.3,81.2,28.3,3,M
44,Paul,Vincent,M,37,198.4,80.7,20.5,4,L
45,Arthur,Petit,M,24,177.8,69.6,22.0,2,S
46,Alice,Moreau,F,50,170.4,45,15.5,1,XS
47,Hugo,Garcia,M,35,184.5,78.7,23.1,4,L
48,Noah,David,M,53,193.3,72.1,19.3,3,M
49,Hugo,Robert,M,52,185.0,78.4,22.9,3,M
50,Arthur,Michel,M,20,175.4,82.1,26.7,3,M
51,Paul,Petit,M,40,180.9,53.6,16.4,1,XS
52,Ethan,Dubois,M,28,183.8,95.8,28.4,4,L
53,Emma,Richard,F,39,167.4,51.9,18.5,1,XS
54,Arthur,Richard,M,24,167.3,73.7,26.3,2,S
55,Alice,Durand,F,47,158.9,74.5,29.5,2,S
56,Léo,Simon,M,35,174.1,94.9,31.3,3,M
57,Chloé,Roux,F,43,160.6,45.3,17.6,1,XS
58,Louise,Fournier,F,34,167.3,72.8,26.0,2,S
59,Camille,Simon,F,45,159.9,54.3,21.2,1,XS
60,Emma,Garcia,F,18,171.6,45,15.3,1,XS
61,Adam,Garcia,M,22,194.0,68.2,18.1,3,M
62,Noah,Laurent,M,50,170.3,71.9,24.8,3,M
63,Camille,Laurent,F,53,170.7,67.7,23.2,3,M
64,Raphaël,Fournier,M,37,173.9,58.7,19.4,2,S
